Time,Year,1000 Barrels/Day
1,1/15/2000,239
2,2/15/2000,267
3,3/15/2000,162
4,4/15/2000,264
5,5/15/2000,170
6,6/15/2000,210
7,7/15/2000,264
8,8/15/2000,405
9,9/15/2000,352
10,10/15/2000,337
11,11/15/2000,248
12,12/15/2000,344
13,1/15/2001,247
14,2/15/2001,280
15,3/15/2001,308
16,4/15/2001,263
17,5/15/2001,256
18,6/15/2001,270
19,7/15/2001,292
20,8/15/2001,261
21,9/15/2001,259
22,10/15/2001,226
23,11/15/2001,196
24,12/15/2001,145
25,1/15/2002,213
26,2/15/2002,290
27,3/15/2002,184
28,4/15/2002,208
29,5/15/2002,182
30,6/15/2002,265
31,7/15/2002,244
32,8/15/2002,178
33,9/15/2002,297
34,10/15/2002,199
35,11/15/2002,291
36,12/15/2002,193
37,1/15/2003,166
38,2/15/2003,241
39,3/15/2003,251
40,4/15/2003,301
41,5/15/2003,217
42,6/15/2003,292
43,7/15/2003,169
44,8/15/2003,189
45,9/15/2003,250
46,10/15/2003,168
47,11/15/2003,182
48,12/15/2003,217
49,1/15/2004,244
50,2/15/2004,92
51,3/15/2004,220
52,4/15/2004,328
53,5/15/2004,278
54,6/15/2004,224
55,7/15/2004,277
56,8/15/2004,197
57,9/15/2004,365
58,10/15/2004,229
59,11/15/2004,324
60,12/15/2004,219
61,1/15/2005,203
62,2/15/2005,183
63,3/15/2005,207
64,4/15/2005,187
65,5/15/2005,291
66,6/15/2005,184
67,7/15/2005,278
68,8/15/2005,229
69,9/15/2005,237
70,10/15/2005,330
71,11/15/2005,289
72,12/15/2005,291
73,1/15/2006,78
74,2/15/2006,160
75,3/15/2006,118
76,4/15/2006,225
77,5/15/2006,231
78,6/15/2006,201
79,7/15/2006,155
80,8/15/2006,155
81,9/15/2006,227
82,10/15/2006,239
83,11/15/2006,259
84,12/15/2006,169
85,1/15/2007,172
86,2/15/2007,150
87,3/15/2007,305
88,4/15/2007,135
89,5/15/2007,168
90,6/15/2007,263
91,7/15/2007,202
92,8/15/2007,139
93,9/15/2007,170
94,10/15/2007,157
95,11/15/2007,154
96,12/15/2007,158
97,1/15/2008,239
98,2/15/2008,272
99,3/15/2008,203
100,4/15/2008,181
101,5/15/2008,263
102,6/15/2008,183
103,7/15/2008,122
104,8/15/2008,203
105,9/15/2008,110
106,10/15/2008,240
107,11/15/2008,292
108,12/15/2008,219
109,1/15/2009,242
110,2/15/2009,251
111,3/15/2009,181
112,4/15/2009,105
113,5/15/2009,106
114,6/15/2009,179
115,7/15/2009,187
116,8/15/2009,148
117,9/15/2009,246
118,10/15/2009,104
119,11/15/2009,287
120,12/15/2009,160
121,1/15/2010,77
122,2/15/2010,228
123,3/15/2010,218
124,4/15/2010,278
125,5/15/2010,225
126,6/15/2010,217
127,7/15/2010,189
128,8/15/2010,251
129,9/15/2010,172
130,10/15/2010,215
131,11/15/2010,170
132,12/15/2010,125
133,1/15/2011,147
134,2/15/2011,118
135,3/15/2011,161
136,4/15/2011,78
137,5/15/2011,200
138,6/15/2011,238
139,7/15/2011,228
140,8/15/2011,165
141,9/15/2011,145
142,10/15/2011,278
143,11/15/2011,302
144,12/15/2011,231
145,1/15/2012,319
146,2/15/2012,252
147,3/15/2012,454
148,4/15/2012,235
149,5/15/2012,407
150,6/15/2012,250
151,7/15/2012,304
152,8/15/2012,301
153,9/15/2012,310
154,10/15/2012,287
155,11/15/2012,276
156,12/15/2012,254
157,1/15/2013,389
158,2/15/2013,255
159,3/15/2013,367
160,4/15/2013,238
161,5/15/2013,361
162,6/15/2013,217
163,7/15/2013,309
164,8/15/2013,420
165,9/15/2013,299
166,10/15/2013,335
167,11/15/2013,397
168,12/15/2013,332
169,1/15/2014,474
170,2/15/2014,378
171,3/15/2014,390
172,4/15/2014,362
